Field,Data Type,Occurrence,Top 10 Values,Field Count
_id,ObjectId,100.0 %,"67f49fffc2ee5cf1e0fd5080(1), 67f49fffc2ee5cf1e0fd5081(1), 67f49fffc2ee5cf1e0fd5082(1), 67f49fffc2ee5cf1e0fd5083(1), 67f49fffc2ee5cf1e0fd5084(1), 67f49fffc2ee5cf1e0fd5085(1), 67f49fffc2ee5cf1e0fd5086(1), 67f49fffc2ee5cf1e0fd5087(1), 67f49fffc2ee5cf1e0fd5088(1), 67f49fffc2ee5cf1e0fd5089(1)",112637
uid,string,100.0 %,"013381862(66), 01983908(63), 01949562(57), 013347996(55), 01932192(55), 07981172(54), 01000798(53), 07983598(52), 07983791(52), 07982254(52)",112637
market,int,100.0 %,"1(98367), 7(11841), 18(1916), 20(513)",112637
record_day,string,100.0 %,"2024-10-01(17021), 2024-11-01(14485), 2025-01-01(14361), 2024-12-01(13678), 2025-03-01(12585), 2025-02-01(12407), 2025-04-01(11816), 2024-09-27(382), 2024-11-05(292), 2024-11-11(291)",112637
withdraw_deposit_bonus_game_summary.active,bool,100.0 %,"False(111847), True(790)",112637
withdraw_deposit_bonus_game_summary.last_login_time,null,100.0 %,N/A,112637
withdraw_deposit_bonus_game_summary.ngr,decimal128,100.0 %,"0(111624), -100(13), -1(12), -10(10), -0.9999999997(7), -15.38461538(5), -4(4), -2(4), -60(4), -30.76923076(3)",112637
withdraw_deposit_bonus_game_summary.turnover_usdt,decimal128,100.0 %,"0(111884), 40(6), 4(4), 1(4), 2(4), 100(3), 69.9048675(2), 0.55844108(2), 1.3728409(2), 30(2)",112637
withdraw_deposit_bonus_game_summary.bonus_count,int,100.0 %,"1(98799), 0(12789), 2(499), 3(197), 4(100), 5(71), 6(56), 10(30), 7(29), 8(24)",112637
withdraw_deposit_bonus_game_summary.bonus_amount_usdt,decimal128,100.0 %,"0(112424), 1(13), 0.9999999997(13), 10(10), 100(7), 1.9999999994(5), 15.38461538(5), 60(4), 30.76923076(3), 210(3)",112637
withdraw_deposit_bonus_game_summary.deposit_amount_usdt,decimal128,100.0 %,"0(102248), 14(316), 28(286), 70(242), 140(238), 42(224), 56(174), 84(162), 280(160), 420(121)",112637
withdraw_deposit_bonus_game_summary.deposit_count,int,100.0 %,"0(102138), 1(6175), 2(2253), 3(959), 4(487), 5(229), 6(145), 7(95), 8(55), 9(36)",112637
withdraw_deposit_bonus_game_summary.is_real_money,bool,100.0 %,"False(111847), True(790)",112637
withdraw_deposit_bonus_game_summary.is_no_real_money,bool,100.0 %,"False(112340), True(297)",112637
withdraw_deposit_bonus_game_summary.withdraw_amount_usdt,decimal128,100.0 %,"0(108765), 140(308), 280(132), 420(95), 210(78), 700(64), 560(57), 168(57), 154(42), 1400(36)",112637
withdraw_deposit_bonus_game_summary.withdraw_count,int,100.0 %,"0(108662), 1(3316), 2(449), 3(113), 4(44), 5(24), 6(14), 7(7), 9(3), 10(2)",112637
withdraw_deposit_bonus_game_summary.wager_count,int,100.0 %,"0(111846), 1(150), 2(96), 3(76), 4(50), 5(43), 7(41), 6(41), 8(31), 10(20)",112637
withdraw_deposit_bonus_game_summary.wager_amount_usdt,decimal128,100.0 %,"0(111847), 40(8), 1(6), 2(6), 4(3), 50(3), 100(3), 7(2), 10(2), 69.9048675(2)",112637
withdraw_deposit_bonus_game_summary.other_adjust_total_usdt,decimal128,100.0 %,"0(112568), 100(8), 13.961027(4), 138.24024(2), 27.9218(1), -27.59469(1), -150.544539(1), 0.00138(1), 136.85037(1), 13.868167(1)",112637
withdraw_deposit_bonus_game_summary.bonus_adjust_amount_usdt,decimal128,100.0 %,"0(112627), 11(1), 42434(1), 42507(1), 1(1), 118(1), 51(1), 802(1), 1000(1), 141(1)",112637
withdraw_deposit_bonus_game_summary.login_count,int,100.0 %,"0(111542), 1(1060), 2(15), 3(11), 5(5), 7(2), 4(2)",112637
psp_usage.paymethod_type,string,10.87 %,"overthecountertransfer(5810), c2cbanktransfer(4327), TRC20(2862), alipayqr(1622), ERC20(102), alipaytransfer(22), cryptocurrencytransfer(15), PaymentIQ-(12), fastpayment(8), ecny(6)",12247
psp_usage.currency,int,10.87 %,"1(14489), 1003(289), 7(11), 1002(10), 4(2), 2(1), 3(1)",12247
psp_usage.total_deposits_approved,decimal128,10.87 %,0(14803),12247
psp_usage.total_deposits_rejected,decimal128,10.87 %,0(14803),12247
psp_usage.total_withdrawals_approved,decimal128,10.87 %,0(14803),12247
psp_usage.total_withdrawals_rejected,decimal128,10.87 %,"0(14771), 10(5), 100(3), 30(3), 20(3), 2.7560584(2), 2.757609(1), 4.1317091(1), 51(1), 60(1)",12247
psp_usage.number_deposits_approved,int,10.87 %,0(14803),12247
psp_usage.number_deposits_rejected,int,10.87 %,0(14803),12247
psp_usage.number_withdrawals_approved,int,10.87 %,0(14803),12247
psp_usage.number_withdrawals_rejected,int,10.87 %,"0(14771), 1(17), 2(6), 3(5), 10(2), 6(1), 7(1)",12247
psp_usage.fiat_currency_deposit_amount,decimal128,10.87 %,"0(4181), 13.720983(333), 137.20983(314), 27.441966(305), 68.604915(265), 41.162949(234), 274.41966(220), 54.883932(193), 82.325898(182), 411.62949(146)",12247
psp_usage.virtual_deposit_amount,decimal128,10.87 %,"0(14616), 1000(20), 10(17), 900(11), 20(6), 800(5), 700(5), 990(4), 500(3), 15(3)",12247
psp_usage.fiat_currency_deposit_count,int,10.87 %,"1(6468), 0(4181), 2(2229), 3(927), 4(446), 5(221), 6(126), 7(79), 8(47), 9(30)",12247
psp_usage.virtual_deposit_count,int,10.87 %,"0(14616), 1(157), 2(24), 3(4), 4(1), 5(1)",12247
game_played_categories.sub_categories.games.game_category,int,0.5 %,N/A,563
game_played_categories.sub_categories.games.sub_game_category_id,long,0.5 %,N/A,563
game_played_categories.sub_categories.games.game_code,string,0.5 %,N/A,563
game_played_categories.sub_categories.games.game_provider,string,0.5 %,N/A,563
game_played_categories.sub_categories.games.turnover_usdt,decimal128,0.5 %,N/A,563
game_played_categories.sub_categories.games.turnover,decimal128,0.5 %,N/A,563
game_played_categories.sub_categories.sub_category,long,0.48 %,N/A,546
game_played_categories.main_category,int,0.47 %,"5(427), 4(88), 3(83), 6(47)",534
